t	S.O2	S.I	S.S	S.NH	S.N2	S.NO	S.ALK	X.I	X.S	X.H	X.STO	X.A	X.SS	Q	T
1	0	126	163,8	92	0	0	13,2	151,2	756	31,5	6,3	25,2	280	5935	8,5
8	0	140,9	183,17	94	0	0	11,7	169,08	845,4	35,225	7,045	28,18	440	5810	8,7
15	0	123,1	160,03	86	0	0	13,4	147,72	738,6	30,775	6,155	24,62	275	5722	8,5
22	0	93,9	122,07	68	0	0	9,8	112,68	563,4	23,475	4,695	18,78	280	6208	8,4
29	0	105,5	137,15	76	0	0	11,2	126,6	633	26,375	5,275	21,1	225	5825	8,3
36	0	118,6	154,18	85	0	0	12,5	142,32	711,6	29,65	5,93	23,72	245	5711	8,6
43	0	74,5	96,85	52	0	0	8,7	89,4	447	18,625	3,725	14,9	195	8522	7,9
50	0	108,7	141,31	79	0	0	12,7	130,44	652,2	27,175	5,435	21,74	295	5975	8,5
57	0	108,9	141,57	77	0	0	12,3	130,68	653,4	27,225	5,445	21,78	250	8937	8,6
64	0	130,3	169,39	87	0	0	12,2	156,36	781,8	32,575	6,515	26,06	365	5570	8,8
71	0	117,1	152,23	86	0	0	12,3	140,52	702,6	29,275	5,855	23,42	250	5786	8,8
78	0	127,6	165,88	88	0	0	13,3	153,12	765,6	31,9	6,38	25,52	305	5873	8,7
85	0	111,5	144,95	76	0	0	12,3	133,8	669	27,875	5,575	22,3	235	6066	9,2
92	0	146,9	190,97	93	0	0	13	176,28	881,4	36,725	7,345	29,38	290	5600	9,8
99	0	130,8	170,04	81	0	0	13,8	156,96	784,8	32,7	6,54	26,16	335	5576	10,7
106	0	123,5	160,55	84	0	0	12,3	148,2	741	30,875	6,175	24,7	315	5930	11,6
113	0	114,2	148,46	87	0	0	13,5	137,04	685,2	28,55	5,71	22,84	295	6552	12,1
120	0	119,7	155,61	69	0	0	12,3	143,64	718,2	29,925	5,985	23,94	365	5711	11,7
127	0	119,2	154,96	82	0	0	13,1	143,04	715,2	29,8	5,96	23,84	285	5946	12,5
134	0	105,2	136,76	77	0	0	12,3	126,24	631,2	26,3	5,26	21,04	310	5815	13,2
141	0	119	154,7	77	0	0	12,9	142,8	714	29,75	5,95	23,8	140	6056	13,7
148	0	116,6	151,58	78	0	0	12,3	139,92	699,6	29,15	5,83	23,32	295	5904	14,6
155	0	109,8	142,74	64	0	0	10,5	131,76	658,8	27,45	5,49	21,96	365	5779	15,6
162	0	104,9	136,37	78	0	0	12,3	125,88	629,4	26,225	5,245	20,98	285	5835	16
169	0	82,5	107,25	73	0	0	11,7	99	495	20,625	4,125	16,5	135	5744	16,7
176	0	144,2	187,46	81	0	0	12,3	173,04	865,2	36,05	7,21	28,84	310	5616	16,8
183	0	117,7	153,01	81	0	0	12,7	141,24	706,2	29,425	5,885	23,54	290	5567	16,8
190	0	110,3	143,39	84	0	0	12,3	132,36	661,8	27,575	5,515	22,06	280	5430	16,9
197	0	118,9	154,57	83	0	0	13,4	142,68	713,4	29,725	5,945	23,78	325	5290	17,4
204	0	118,9	154,57	81	0	0	13,6	142,68	713,4	29,725	5,945	23,78	310	5652	17,2
211	0	149,6	194,48	64	0	0	12,3	179,52	897,6	37,4	7,48	29,92	455	5839	18,3
218	0	109,6	142,48	71	0	0	12,1	131,52	657,6	27,4	5,48	21,92	390	5527	18,5
225	0	100,5	130,65	85	0	0	12,3	120,6	603	25,125	5,025	20,1	330	5801	18,3
232	0	105,2	136,76	67	0	0	10,2	126,24	631,2	26,3	5,26	21,04	255	6174	17,8
239	0	106,7	138,71	72	0	0	12	128,04	640,2	26,675	5,335	21,34	290	5706	17,2
246	0	112,3	145,99	71	0	0	12,2	134,76	673,8	28,075	5,615	22,46	345	5457	17,1
253	0	154,1	200,33	71	0	0	12,7	184,92	924,6	38,525	7,705	30,82	640	5826	16,7
260	0	103,1	134,03	79	0	0	12,3	123,72	618,6	25,775	5,155	20,62	290	6010	15,8
267	0	99,6	129,48	75	0	0	12,8	119,52	597,6	24,9	4,98	19,92	205	6106	15,5
274	0	102,3	132,99	83	0	0	14,4	122,76	613,8	25,575	5,115	20,46	180	5777	14,8
281	0	107,1	139,23	79	0	0	12,1	128,52	642,6	26,775	5,355	21,42	345	5679	14,2
288	0	129,1	167,83	91	0	0	11,8	154,92	774,6	32,275	6,455	25,82	305	5971	13,8
295	0	80,7	104,91	79	0	0	11,5	96,84	484,2	20,175	4,035	16,14	120	6045	13,5
302	0	108,2	140,66	93	0	0	12,3	129,84	649,2	27,05	5,41	21,64	250	6153	12,8
309	0	117,9	153,27	77	0	0	12,1	141,48	707,4	29,475	5,895	23,58	325	6454	12,6
316	0	111,1	144,43	81	0	0	12,3	133,32	666,6	27,775	5,555	22,22	155	5829	11,8
323	0	115,3	149,89	85	0	0	12,6	138,36	691,8	28,825	5,765	23,06	280	6065	10,4
330	0	114,5	148,85	105	0	0	13,8	137,4	687	28,625	5,725	22,9	305	6054	10
337	0	124,3	161,59	97	0	0	12,5	149,16	745,8	31,075	6,215	24,86	310	5476	9,8
344	0	127,8	166,14	90	0	0	12,3	153,36	766,8	31,95	6,39	25,56	375	5782	9,5
351	0	134,8	175,24	100	0	0	13	161,76	808,8	33,7	6,74	26,96	380	5659	9,1
358	0	162,5	211,25	80	0	0	11,6	195	975	40,625	8,125	32,5	340	8090	8,3
365	0	93,2	121,16	80	0	0	10,8	111,84	559,2	23,3	4,66	18,64	305	6753	7,5
