#1
double t_data(1345,15)  # dry weather influent data t	S.O2	S.I	S.S	S.NH	S.N2	S.NO	S.ALK	X.I	X.S	X.H	X.A	X.STO	X.SS	Q
0.000E+00	0.000E+00	3.000E+01	6.363E+01	3.025E+01	0.000E+00	0.000E+00	7.000E+00	5.848E+01	2.244E+02	3.143E+01	0.000E+00	0.000E+00	2.357E+02	2.148E+04
1.042E-02	0.000E+00	3.000E+01	6.167E+01	3.021E+01	0.000E+00	0.000E+00	7.000E+00	5.846E+01	2.243E+02	3.142E+01	0.000E+00	0.000E+00	2.357E+02	2.147E+04
2.083E-02	0.000E+00	3.000E+01	6.172E+01	3.105E+01	0.000E+00	0.000E+00	7.000E+00	5.307E+01	2.244E+02	3.083E+01	0.000E+00	0.000E+00	2.312E+02	1.962E+04
3.125E-02	0.000E+00	3.000E+01	6.216E+01	3.167E+01	0.000E+00	0.000E+00	7.000E+00	5.146E+01	2.210E+02	3.027E+01	0.000E+00	0.000E+00	2.270E+02	1.933E+04
4.167E-02	0.000E+00	3.000E+01	6.458E+01	3.316E+01	0.000E+00	0.000E+00	7.000E+00	4.973E+01	2.177E+02	2.972E+01	0.000E+00	0.000E+00	2.229E+02	1.898E+04
5.208E-02	0.000E+00	3.000E+01	6.785E+01	3.512E+01	0.000E+00	0.000E+00	7.000E+00	4.719E+01	2.143E+02	2.906E+01	0.000E+00	0.000E+00	2.179E+02	1.832E+04
6.250E-02	0.000E+00	3.000E+01	7.214E+01	3.787E+01	0.000E+00	0.000E+00	7.000E+00	4.716E+01	2.199E+02	2.968E+01	0.000E+00	0.000E+00	2.226E+02	1.786E+04
7.292E-02	0.000E+00	3.000E+01	7.247E+01	3.787E+01	0.000E+00	0.000E+00	7.000E+00	4.413E+01	2.133E+02	2.860E+01	0.000E+00	0.000E+00	2.145E+02	1.724E+04
8.333E-02	0.000E+00	3.000E+01	6.976E+01	3.685E+01	0.000E+00	0.000E+00	7.000E+00	4.089E+01	2.071E+02	2.756E+01	0.000E+00	0.000E+00	2.067E+02	1.645E+04
9.375E-02	0.000E+00	3.000E+01	6.750E+01	3.647E+01	0.000E+00	0.000E+00	7.000E+00	3.993E+01	2.011E+02	2.678E+01	0.000E+00	0.000E+00	2.008E+02	1.655E+04
1.042E-01	0.000E+00	3.000E+01	6.284E+01	3.439E+01	0.000E+00	0.000E+00	7.000E+00	3.835E+01	1.961E+02	2.605E+01	0.000E+00	0.000E+00	1.954E+02	1.630E+04
1.146E-01	0.000E+00	3.000E+01	6.247E+01	3.468E+01	0.000E+00	0.000E+00	7.000E+00	3.382E+01	1.907E+02	2.495E+01	0.000E+00	0.000E+00	1.871E+02	1.474E+04
1.250E-01	0.000E+00	3.000E+01	5.374E+01	3.207E+01	0.000E+00	0.000E+00	7.000E+00	3.013E+01	1.832E+02	2.371E+01	0.000E+00	0.000E+00	1.778E+02	1.361E+04
1.354E-01	0.000E+00	3.000E+01	5.445E+01	2.990E+01	0.000E+00	0.000E+00	7.000E+00	2.718E+01	1.749E+02	2.245E+01	0.000E+00	0.000E+00	1.684E+02	1.281E+04
1.458E-01	0.000E+00	3.000E+01	5.007E+01	2.707E+01	0.000E+00	0.000E+00	7.000E+00	2.470E+01	1.664E+02	2.124E+01	0.000E+00	0.000E+00	1.593E+02	1.217E+04
1.563E-01	0.000E+00	3.000E+01	4.635E+01	2.470E+01	0.000E+00	0.000E+00	7.000E+00	2.234E+01	1.580E+02	2.004E+01	0.000E+00	0.000E+00	1.503E+02	1.153E+04
1.667E-01	0.000E+00	3.000E+01	4.436E+01	2.339E+01	0.000E+00	0.000E+00	7.000E+00	2.242E+01	1.508E+02	1.924E+01	0.000E+00	0.000E+00	1.443E+02	1.220E+04
