#1
double t_data(1345,15)  # storm weather influent data"t"	"S.O2"	"S.I"	"S.S"	"S.NH"	"S.N2"	"S.NO"	"S.ALK"	"X.I"	"X.S"	"X.H"	"X.STO"	"X.A"	"X.SS"	"Q"
0	0	30	63.63455	30.24762	0	0	7	58.476	224.352	31.425	0	0	235.68975	21477
0.010416667	0	30	61.67313	30.21283	0	0	7	58.459	224.324	31.42	0	0	235.65225	21474
0.020833333	0	30	61.71973	31.04771	0	0	7	53.069	224.373	30.827	0	0	231.20175	19620
0.03125	0	30	62.16018	31.67387	0	0	7	51.462	220.973	30.27	0	0	227.02875	19334
0.041666667	0	30	64.57526	33.15925	0	0	7	49.73	217.74	29.719	0	0	222.89175	18978
0.052083333	0	30	67.84871	35.11773	0	0	7	47.194	214.339	29.059	0	0	217.944	18321
0.0625	0	30	72.14054	37.86587	0	0	7	47.16	219.925	29.676	0	0	222.57075	17855
0.072916667	0	30	72.47069	37.86587	0	0	7	44.126	213.292	28.602	0	0	214.515	17237
0.083333333	0	30	69.7643	36.8501	0	0	7	40.893	207.115	27.556	0	0	206.673	16453
0.09375	0	30	67.49915	36.47441	0	0	7	39.927	201.059	26.776	0	0	200.8215	16548
0.104166667	0	30	62.83833	34.38721	0	0	7	38.351	196.112	26.051	0	0	195.3855	16295
0.114583333	0	30	62.46546	34.67942	0	0	7	33.82	190.698	24.946	0	0	187.098	14743
0.125	0	30	53.74197	32.06695	0	0	7	30.127	183.215	23.705	0	0	177.78525	13613
0.135416667	0	30	54.44886	29.89975	0	0	7	27.179	174.894	22.453	0	0	168.3945	12807
0.145833333	0	30	50.06769	27.06813	0	0	7	24.696	166.418	21.235	0	0	159.26175	12173
0.15625	0	30	46.35457	24.70265	0	0	7	22.34	157.98	20.036	0	0	150.267	11533
0.166666667	0	30	44.35819	23.38772	0	0	7	22.416	150.774	19.243	0	0	144.32475	12198
0.177083333	0	30	42.57931	22.19802	0	0	7	20.641	144.789	18.381	0	0	137.85825	11640
0.1875	0	30	40.00033	20.31607	0	0	7	20.38	139.342	17.747	0	0	133.10175	11978
0.197916667	0	30	40.38873	20.54218	0	0	7	21.877	136.217	17.566	0	0	131.745	13272
0.208333333	0	30	40.77713	20.71611	0	0	7	20.272	133.834	17.123	0	0	128.42175	12452
0.21875	0	30	40.46641	20.7509	0	0	7	21.441	131.837	17.031	0	0	127.73175	13453
0.229166667	0	30	40.83539	20.66393	0	0	7	21.895	131.328	17.025	0	0	127.686	13815
0.239583333	0	30	40.46641	20.61175	0	0	7	21.843	131.113	16.995	0	0	127.46325	13803
0.25	0	30	40.50525	20.54218	0	0	7	19.724	129.632	16.595	0	0	124.46325	12514
0.260416667	0	30	40.52467	20.43782	0	0	7	19.397	127.223	16.291	0	0	122.18325	12542
0.270833333	0	30	40.31105	20.40303	0	0	7	18.065	124.57	15.848	0	0	118.86225	11865
0.28125	0	30	40.11685	20.15953	0	0	7	18.032	122.009	15.56	0	0	116.70075	12118
0.291666667	0	30	40.04693	20.02734	0	0	7	17.431	119.832	15.252	0	0	114.38625	11906
