#1
double t_data(1345,16)	#t	S.O2	S.I	S.S	S.NH	S.N2	S.NO	S.ALK	X.I	X.S	X.H	X.A	X.STO	X.SS	d1$S.P	Q
0	0	30	63.63	30.25	0	0	7	58.48	224.4	31.43	0	0	235.7	8.80801416666667	21480
0.01042	0	30	61.67	30.21	0	0	7	58.46	224.3	31.42	0	0	235.7	8.64149666666667	21470
0.02083	0	30	61.72	31.05	0	0	7	53.07	224.4	30.83	0	0	231.2	8.69637	19620
0.03125	0	30	62.16	31.67	0	0	7	51.46	221	30.27	0	0	227	8.7678375	19330
0.04167	0	30	64.58	33.16	0	0	7	49.73	217.7	29.72	0	0	222.9	9.0755425	18980
0.05208	0	30	67.85	35.12	0	0	7	47.19	214.3	29.06	0	0	217.9	9.49095333333333	18320
0.0625	0	30	72.14	37.87	0	0	7	47.16	219.9	29.68	0	0	222.6	10.0968675	17860
0.07292	0	30	72.47	37.87	0	0	7	44.13	213.3	28.6	0	0	214.5	10.0907966666667	17240
0.08333	0	30	69.76	36.85	0	0	7	40.89	207.1	27.56	0	0	206.7	9.74786666666667	16450
0.09375	0	30	67.5	36.47	0	0	7	39.93	201.1	26.78	0	0	200.8	9.50329666666667	16550
0.1042	0	30	62.84	34.39	0	0	7	38.35	196.1	26.05	0	0	195.4	8.918295	16300
0.1146	0	30	62.47	34.68	0	0	7	33.82	190.7	24.95	0	0	187.1	8.87690666666667	14740
0.125	0	30	53.74	32.07	0	0	7	30.13	183.2	23.71	0	0	177.8	7.89341	13610
0.1354	0	30	54.45	29.9	0	0	7	27.18	174.9	22.45	0	0	168.4	7.7324675	12810
0.1458	0	30	50.07	27.07	0	0	7	24.7	166.4	21.24	0	0	159.3	7.093235	12170
0.1563	0	30	46.35	24.7	0	0	7	22.34	158	20.04	0	0	150.3	6.54910166666667	11530
0.1667	0	30	44.36	23.39	0	0	7	22.42	150.8	19.24	0	0	144.3	6.24832583333333	12200
0.1771	0	30	42.58	22.2	0	0	7	20.64	144.8	18.38	0	0	137.9	5.97394416666667	11640
0.1875	0	30	40	20.32	0	0	7	20.38	139.3	17.75	0	0	133.1	5.58236666666667	11980
0.1979	0	30	40.39	20.54	0	0	7	21.88	136.2	17.57	0	0	131.7	5.62790916666667	13270
0.2083	0	30	40.78	20.72	0	0	7	20.27	133.8	17.12	0	0	128.4	5.66085333333333	12450
0.2188	0	30	40.47	20.75	0	0	7	21.44	131.8	17.03	0	0	127.7	5.63502583333333	13450
0.2292	0	30	40.84	20.66	0	0	7	21.9	131.3	17.03	0	0	127.7	5.65827666666667	13820
0.2396	0	30	40.47	20.61	0	0	7	21.84	131.1	17	0	0	127.5	5.62226333333333	13800
0.25	0	30	40.51	20.54	0	0	7	19.72	129.6	16.6	0	0	124.5	5.6072025	12510
0.2604	0	30	40.52	20.44	0	0	7	19.4	127.2	16.29	0	0	122.2	5.59054083333333	12540
0.2708	0	30	40.31	20.4	0	0	7	18.07	124.6	15.85	0	0	118.9	5.55600666666667	11870
0.2813	0	30	40.12	20.16	0	0	7	18.03	122	15.56	0	0	116.7	5.51053166666667	12120
0.2917	0	30	40.05	20.03	0	0	7	17.43	119.8	15.25	0	0	114.4	5.4840225	11910
0.3021	0	30	40.34	20	0	0	7	17.35	117.9	15.03	0	0	112.7	5.49938583333333	12060
0.3125	0	30	40.58	20.1	0	0	7	17.69	116.8	14.95	0	0	112.1	5.52519333333333	12450
0.3229	0	30	40.89	20.4	0	0	7	18.37	116.7	15.01	0	0	112.6	5.57830666666667	12980
0.3333	0	30	41.17	20.82	0	0	7	18.37	117	15.04	0	0	112.8	5.63666666666667	12960
0.3438	0	30	41.86	21.17	0	0	7	18.09	116.9	15	0	0	112.5	5.72266583333333	12750
0.3542	0	30	42.42	21.61	0	0	7	19.31	117.6	15.21	0	0	114.1	5.81287916666667	13600
0.3646	0	30	43.95	22.14	0	0	7	20.39	119.4	15.53	0	0	116.5	5.99332416666667	14170
0.375	0	30	48.77	24.68	0	0	7	25.75	121.6	16.37	0	0	122.8	6.6342575	17640
0.3854	0	30	59.89	29.66	0	0	7	27.43	129.6	17.44	0	0	130.8	8.00839416666667	17640
0.3958	0	30	71.46	34.25	0	0	7	38.14	139.3	19.71	0	0	147.9	9.42665916666667	22460
0.4063	0	30	80.01	37.94	0	0	7	50.43	153.9	22.71	0	0	170.3	10.5397591666667	26280
0.4167	0	30	94.9	43.4	0	0	7	54.36	171.1	25.05	0	0	187.9	12.3095658333333	25600
0.4271	0	30	105.8	46.61	0	0	7	64.85	185.3	27.79	0	0	208.4	13.5698983333333	27780
0.4375	0	30	115.2	49.25	0	0	7	75.75	200.7	30.72	0	0	230.4	14.6671183333333	29550
0.4479	0	30	120	50	0	0	7	88.95	214.3	33.7	0	0	252.7	15.2232008333333	31860
0.4583	0	30	119	49.25	0	0	7	96.68	230.1	36.31	0	0	272.3	15.1555933333333	32170
0.4688	0	30	112.1	45.74	0	0	7	102.5	243.9	38.5	0	0	288.7	14.36037	32180
0.4792	0	30	102.5	40.86	0	0	7	106.2	255.8	40.22	0	0	301.6	13.2026508333333	31870
0.4896	0	30	94.81	39.03	0	0	7	95.51	269.7	40.58	0	0	304.4	12.4252683333333	28050
0.5	0	30	88.38	36.85	0	0	7	91.18	273.2	40.49	0	0	303.6	11.7041425	26700
0.5104	0	30	81.29	34.25	0	0	7	90.71	271.8	40.28	0	0	302.1	10.8899558333333	26690
0.5208	0	30	75.77	32.16	0	0	7	86.23	271.8	39.78	0	0	298.3	10.2404983333333	25570
0.5313	0	30	70.37	30.78	0	0	7	85.71	271	39.64	0	0	297.3	9.67126416666667	25500
0.5417	0	30	68.28	29.8	0	0	7	74.13	271.5	38.41	0	0	288.1	9.37586166666667	22400
0.5521	0	30	67.03	29.24	0	0	7	87.45	263.7	39.01	0	0	292.6	9.24490666666667	26560
0.5625	0	30	66.77	28.52	0	0	7	85.83	266.4	39.14	0	0	293.6	9.16685666666667	25910
0.5729	0	30	67.08	27.96	0	0	7	80.16	267.8	38.66	0	0	290	9.13111166666667	24310
0.5833	0	30	68.09	28.13	0	0	7	76.22	265.9	38.01	0	0	285.1	9.20868	23400
